PERMNO,Company Name,Ticker,SP500 Start,SP500 End
76076,CISCO SYSTEMS INC,CSCO,"Dec. 31, 1993","Dec. 31, 2024"
76082,COTERRA ENERGY INC,CTRA,"June 23, 2008","Dec. 31, 2024"
76095,HOLOGIC INC,HOLX,"March 30, 2016","Dec. 31, 2024"
76185,TYLER TECHNOLOGIES INC,TYL,"June 22, 2020","Dec. 31, 2024"
76226,PARAMOUNT GLOBAL,PARA,"Sept. 30, 1994","Dec. 31, 2024"
76230,TRIMBLE INC,TRMB,"Jan. 21, 2021","Dec. 31, 2024"
76605,AUTOZONE INC,AZO,"Jan. 2, 1997","Dec. 31, 2024"
76614,REGENERON PHARMACEUTICALS INC,REGN,"May 1, 2013","Dec. 31, 2024"
76709,I D E X X LABORATORIES INC,IDXX,"Jan. 5, 2017","Dec. 31, 2024"
76712,A E S CORP,AES,"Oct. 2, 1998","Dec. 31, 2024"
76744,VERTEX PHARMACEUTICALS INC,VRTX,"Sept. 23, 2013","Dec. 31, 2024"
76795,ZEBRA TECHNOLOGIES CORP,ZBRA,"Dec. 23, 2019","Dec. 31, 2024"
76841,BIOGEN INC,BIIB,"Nov. 13, 2003","Dec. 31, 2024"
77037,OLD DOMINION FREIGHT LINE INC,ODFL,"Dec. 9, 2019","Dec. 31, 2024"
77129,KIMCO REALTY CORP,KIM,"April 3, 2006","Dec. 31, 2024"
77178,QUALCOMM INC,QCOM,"July 22, 1999","Dec. 31, 2024"
77274,GILEAD SCIENCES INC,GILD,"July 1, 2004","Dec. 31, 2024"
